"","page","name","category","address","X5star","X4star","X3star","X2star","X1star","monday","tuesday","wednesday","thursday","friday","saturday","sunday","wifi_rate","TV_rate","noise_rate","alcohol_rate","seating_rate","reservation_rate","delivery_rate","takeout_rate","creditcard_rate","rate","numberrate","normalrate"
"1",1,"Piperi Mediterranean Grill","Mediterranean","One Beacon St Boston, MA 02108",261,77,20,4,4,"11:00 am - 6:00 pm","11:00 am - 6:00 pm","11:00 am - 6:00 pm","11:00 am - 6:00 pm","11:00 am - 8:00 pm","12:00 pm - 4:00 pm","12:00 pm - 4:00 pm",0,1,0,0,1,0,0,1,1,4.60382513661202,366,0.862047136612022
"2",1,"O Ya","Japanese","9 East St Pl Boston, MA 02111",352,81,39,19,13,"Closed","5:00 pm - 9:30 pm","5:00 pm - 9:30 pm","5:00 pm - 9:30 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","Closed",0,0,0,1,0,1,0,0,1,4.46825396825397,504,0.726475968253968
"3",1,"Neptune Oyster","Seafood","63 Salem St Boston, MA 02113",1803,786,223,99,88,"11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 10:30 pm","11:30 am - 10:30 pm",0,0,0,1,0,0,0,0,1,4.3727909303101,2999,0.631012930310104
"4",1,"Wheelhouse","Breakfast & Brunch","63 Broad St Boston, MA 02109",100,44,14,2,0,"7:00 am - 3:00 pm","7:00 am - 3:00 pm","7:00 am - 3:00 pm","7:00 am - 3:00 pm","7:00 am - 3:00 pm","Closed","Closed",0,0,0,0,0,0,0,1,1,4.5125,160,0.770722
"5",1,"Island Creek Oyster Bar","Seafood","500 Commonwealth Ave Boston, MA 02215",953,518,165,70,46,"4:00 pm - 11:00 pm","4:00 pm - 11:00 pm","4:00 pm - 11:00 pm","4:00 pm - 11:00 pm","4:00 pm - 11:00 pm","11:30 am - 11:30 pm","10:30 am - 11:30 pm",0,0,0,1,0,1,0,0,1,4.29109589041096,1752,0.549317890410959
"6",1,"Row 34","Modern American","383 Congress St Boston, MA 02210",282,150,45,21,15,"11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","10:30 am - 11:00 pm",1,0,0,1,1,1,0,1,1,4.29239766081871,513,0.550619660818714
"7",1,"Toro","Spanish","1704 Washington St Boston, MA 02118",723,523,157,63,34,"12:00 pm - 12:00 am","12:00 pm - 12:00 am","12:00 pm - 12:00 am","12:00 pm - 12:00 am","12:00 pm - 1:00 am","4:30 pm - 1:00 am","10:30 am - 12:00 am",1,0,1,1,1,0,0,1,1,4.22533333333333,1500,0.483555333333333
"8",1,"GiacomoÕs Ristorante","Italian","355 Hanover St Boston, MA 02113",1188,620,212,107,71,"4:30 pm - 10:00 pm","4:30 pm - 10:00 pm","4:30 pm - 10:00 pm","4:30 pm - 10:00 pm","4:30 pm - 10:30 pm","4:30 pm - 10:30 pm","4:00 pm - 9:30 pm",0,0,1,1,0,0,0,1,0,4.24977252047316,2198,0.507994520473157
"9",1,"Mike & PattyÕs","Sandwiches","12 Church St Boston, MA 02116",495,278,62,21,35,"8:00 am - 2:00 pm","8:00 am - 2:00 pm","7:30 am - 2:00 pm","7:30 am - 2:00 pm","7:30 am - 2:00 pm","7:30 am - 2:30 pm","7:30 am - 2:30 pm",0,0,0,0,0,0,1,1,1,4.32098765432099,891,0.579209654320987
"10",1,"Barcelona Wine Bar South End","Spanish","525 Tremont St Boston, MA 02116",196,91,27,15,6,"4:00 pm - 12:30 am","4:00 pm - 12:30 am","4:00 pm - 12:30 am","4:00 pm - 12:30 am","4:00 pm - 2:00 am","11:00 am - 2:00 am","11:00 am - 12:30 am",0,1,0,1,0,1,0,1,1,4.36119402985075,335,0.619416029850746
"11",2,"Galleria Umberto","Pizza","289 Hanover St Boston, MA 02113",237,120,34,16,9,"11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","Closed",0,0,0,1,0,0,0,1,0,4.34615384615385,416,0.604375846153846
"12",2,"The Salty Pig","American (New)","130 Dartmouth St Boston, MA 02116",308,384,124,47,20,"11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 12:00 am",0,0,0,1,1,1,0,1,1,4.03397508493771,883,0.292197084937713
"13",2,"Atlantic Fish Company","Seafood","761 Boylston St Boston, MA 02116",749,607,197,82,42,"11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 11:00 pm",0,1,0,1,1,1,0,1,1,4.15623136553369,1677,0.414453365533691
"14",2,"Stir","Modern American","102 Waltham St Boston, MA 02118",27,2,3,1,0,"12:00 pm - 6:00 pm","12:00 pm - 6:00 pm","12:00 pm - 6:00 pm","12:00 pm - 6:00 pm","12:00 pm - 6:00 pm","12:00 pm - 6:00 pm","Closed",0,0,0,1,0,1,0,0,1,4.66666666666667,33,0.924888666666667
"15",2,"Avana Sushi","Japanese","42 Beach St Boston, MA 02111",354,228,69,22,16,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm",0,0,0,0,0,1,1,1,1,4.28011611030479,689,0.53833811030479
"16",2,"LukeÕs Lobster","Seafood","75 Exeter Street Boston, MA 02116",122,76,27,9,1,"11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 9:00 pm",0,0,0,0,0,0,1,1,1,4.31489361702128,235,0.573115617021276
"17",2,"James Hook & Co","Seafood","440 Atlantic Ave Boston, MA 02110",303,211,54,30,14,"10:00 am - 5:00 pm","10:00 am - 5:00 pm","10:00 am - 5:00 pm","10:00 am - 5:00 pm","10:00 am - 6:00 pm","10:00 am - 5:00 pm","10:00 am - 3:00 pm",0,0,0,0,1,0,0,1,1,4.24019607843137,612,0.498418078431373
"18",2,"Grass Roots Cafe","Sandwiches","101 Arch St Boston, MA 02110",63,24,3,2,1,"6:30 am - 7:00 pm","6:30 am - 7:00 pm","6:30 am - 7:00 pm","6:30 am - 7:00 pm","6:30 am - 7:00 pm","Closed","Closed",0,0,0,0,0,0,0,1,1,4.56989247311828,93,0.82811447311828
"19",2,"PauliÕs","Sandwiches","65 Salem St Boston, MA 02113",235,127,38,13,8,"8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","9:00 am - 5:00 pm",1,1,0,0,0,0,1,1,1,4.34916864608076,421,0.60739064608076
"20",2,"Casa Razdora","Italian","115 Water St Boston, MA 02109",173,52,6,11,4,"11:00 am - 4:00 pm","11:00 am - 4:00 pm","11:00 am - 4:00 pm","11:00 am - 5:00 pm","11:00 am - 5:00 pm","Closed","Closed",0,0,0,0,0,0,1,1,1,4.54065040650407,246,0.798872406504065
"21",3,"El Pel—n Taquer’a","Mexican","92 Peterborough St Boston, MA 02215",404,272,79,31,22,"11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm",1,0,0,0,1,0,1,1,1,4.24381188118812,808,0.502033881188119
"22",3,"Orinoco","Caribbean","477 Shawmut Ave Boston, MA 02118",201,176,48,14,16,"Closed","12:00 pm - 2:30 pm 6:00 pm - 10:00 pm","12:00 pm - 2:30 pm 6:00 pm - 10:00 pm","12:00 pm - 2:30 pm 6:00 pm - 11:00 pm","12:00 pm - 2:30 pm 6:00 pm - 11:00 pm","12:00 pm - 2:30 pm 6:00 pm - 11:00 pm","11:00 am - 3:00 pm",0,0,0,1,1,0,0,1,1,4.16923076923077,455,0.427452769230769
"23",3,"Locale","Italian","352 Hanover St Boston, MA 02113",109,48,10,2,11,"4:00 pm - 9:30 pm","4:00 pm - 9:30 pm","4:00 pm - 9:30 pm","4:00 pm - 9:30 pm","4:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 9:00 pm",0,0,0,1,0,0,0,1,1,4.34444444444444,180,0.602666444444444
"24",3,"Blunch","Breakfast & Brunch","59 E Springfield St Boston, MA 02118",169,105,18,8,3,"8:00 am - 3:00 pm","8:00 am - 3:00 pm","8:00 am - 3:00 pm","8:00 am - 3:00 pm","8:00 am - 3:00 pm","9:00 am - 3:00 pm","Closed",0,0,0,0,0,0,1,1,1,4.41584158415842,303,0.674063584158416
"25",3,"Pho Basil","Vietnamese","177 Massachusetts Ave Ste A Boston, MA 02115",254,294,70,29,19,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:30 pm","11:30 am - 10:30 pm","11:30 am - 10:00 pm",0,0,0,1,0,1,1,1,1,4.1036036036036,666,0.361825603603603
